referentienummer,identifier
DMG-A-01863,Q6179808
DMG-A-01864,Q3381110
DMG-A-01865,Q6339160
DMG-A-01866,Q2505653
DMG-A-01868,Q329041
DMG-A-01869,Q17113584
DMG-A-01872,Q882160
DMG-A-01873,Q3035704
DMG-A-01874,Q967718
DMG-A-01876,Q55219445
DMG-A-01884,Q833266
DMG-A-01886,Q885235
DMG-A-01889,Q29123011
DMG-A-01890,Q217338
DMG-A-01942,Q2745889
DMG-A-01949,Q1541219
DMG-A-01951,Q5715651
DMG-A-01952,Q6450596
DMG-A-01963,Q2714331
DMG-A-01964,Q3768082
DMG-A-01969,Q3568633
DMG-A-01974,Q559934
DMG-A-01975,Q430822
DMG-A-01984,Q21395953
DMG-A-01988,Q1263118
DMG-A-01992,Q585926
DMG-A-02004,Q50298547
DMG-A-02008,Q2775713
DMG-A-02009,Q299211
DMG-A-02013,Q73593
DMG-A-02014,Q61791246
DMG-A-02019,Q59690861
DMG-A-02024,Q1408215
DMG-A-02031,Q5362806
DMG-A-02038,Q97961839
DMG-A-02042,Q3816475
DMG-A-02055,Q28871672
DMG-A-02057,Q3262556
DMG-A-02060,Q997185
DMG-A-02061,Q2071033
DMG-A-02067,Q2398624
DMG-A-02069,Q2742271
DMG-A-02070,Q16847575
DMG-A-02086,Q725681
DMG-A-02088,Q357005
DMG-A-02090,Q99461677
DMG-A-02091,Q20177296
DMG-A-02097,Q371277
DMG-A-02098,Q2189149
DMG-A-02100,Q62067421
DMG-A-02106,Q2238906
DMG-A-02107,Q61930370
DMG-A-02109,Q2898869
DMG-A-02110,Q1040114
DMG-A-02118,Q486269
DMG-A-02122,Q3518548
DMG-A-02124,Q1327887
DMG-A-02125,Q55235990
DMG-A-02132,Q1490509
DMG-A-02134,Q2382453
DMG-A-02138,Q100165448
DMG-A-02139,Q62060600
DMG-A-02142,Q11884965
DMG-A-02148,Q21288982
DMG-A-02150,Q718039
DMG-A-02151,Q2794077
DMG-A-02152,Q27588806
DMG-A-02153,Q14625897
DMG-A-02154,Q14995
DMG-A-02155,Q2778951
DMG-A-02157,Q60731883
DMG-A-02160,Q741499
DMG-A-02161,Q2745889
DMG-A-02162,Q2039997
DMG-A-02163,Q1105744
DMG-A-02167,Q64233041
DMG-A-02168,Q822407
DMG-A-02170,Q1926388
DMG-A-02172,Q1678589
DMG-A-02173,Q1663289
DMG-A-02178,Q7615456
DMG-A-02179,Q7373842
DMG-A-02187,Q1541219
DMG-A-02191,Q3067761
DMG-A-02194,Q3086573
DMG-A-02197,Q81965
DMG-A-02198,Q1056473
DMG-A-02199,Q5604
DMG-A-02200,Q17610625
DMG-A-02202,Q5554790
