url;referentienummer;identifier
https://nl.wikipedia.org/wiki/Axel_Enthoven;DMG-A-01133;Q2781951
https://nl.wikipedia.org/wiki/Vic_Cautereels;DMG-A-01142;Q2392272
https://nl.wikipedia.org/wiki/Bob_Daenen;DMG-A-01143;Q2008757
https://nl.wikipedia.org/wiki/Patrick_Hoet;DMG-A-01153;Q2344835
https://nl.wikipedia.org/wiki/Wilhelm_Wagenfeld;DMG-A-01174;Q77378
https://nl.wikipedia.org/wiki/Schott_AG;DMG-A-01175;Q565558
https://nl.wikipedia.org/wiki/Hans_Wegner;DMG-A-01180;Q700073
https://nl.wikipedia.org/wiki/Pol_Quadens;DMG-A-01183;Q2858116
https://nl.wikipedia.org/wiki/Canon_Inc.;DMG-A-01212;Q62621
https://nl.wikipedia.org/wiki/Glasfabriek_Leerdam;DMG-A-01213;Q2663996
https://nl.wikipedia.org/wiki/Claire_Bataille;DMG-A-01224;Q1984323
https://nl.wikipedia.org/wiki/Michel_Martens;DMG-A-01229;Q5343067
https://nl.wikipedia.org/wiki/Wendell_Castle;DMG-A-01251;Q2559029
https://nl.wikipedia.org/wiki/Charles_en_Ray_Eames;DMG-A-01253;Q14634037
https://nl.wikipedia.org/wiki/Yrj%C3%B6_Kukkapuro;DMG-A-01255;Q11903027
https://nl.wikipedia.org/wiki/Jean-Paul_Emonds-Alt;DMG-A-01262;Q3168479
https://nl.wikipedia.org/wiki/Rodolphe_Wytsman;DMG-A-01264;Q2318074
https://nl.wikipedia.org/wiki/Jozef_Horenbant;DMG-A-01265;Q5291986
https://nl.wikipedia.org/wiki/Geo_Henderick;DMG-A-01271;Q13641206
https://nl.wikipedia.org/wiki/Kipling_(merk);DMG-A-01276;Q6414641
https://nl.wikipedia.org/wiki/Libeco;DMG-A-01281;Q6540480
https://nl.wikipedia.org/wiki/Verner_Panton;DMG-A-01287;Q510955
https://nl.wikipedia.org/wiki/Christian_Kieckens;DMG-A-01288;Q55235701
https://nl.wikipedia.org/wiki/Ricardo_Bofill;DMG-A-01298;Q316413
https://nl.wikipedia.org/wiki/Piet_Stockmans;DMG-A-01301;Q2954774
https://nl.wikipedia.org/wiki/Grundig;DMG-A-01304;Q680019
https://nl.wikipedia.org/wiki/Abdij_van_Maredsous;DMG-A-01313;Q2719216
https://nl.wikipedia.org/wiki/Lucien_Kroll;DMG-A-01314;Q2439897
https://nl.wikipedia.org/wiki/Frank_Gehry;DMG-A-01315;Q180374
https://nl.wikipedia.org/wiki/James_Dyson;DMG-A-01322;Q1346101
https://nl.wikipedia.org/wiki/Stefan_Sch%C3%B6ning;DMG-A-01342;Q15734250
https://nl.wikipedia.org/wiki/Arne_Quinze;DMG-A-01352;Q1856624
https://nl.wikipedia.org/wiki/Isamu_Noguchi;DMG-A-01353;Q442628
https://nl.wikipedia.org/wiki/Henry_Van_de_Velde;DMG-A-01361;Q154083
https://nl.wikipedia.org/wiki/Will_Alsop;DMG-A-01368;Q304768
https://nl.wikipedia.org/wiki/Zaha_Hadid;DMG-A-01369;Q47780
https://nl.wikipedia.org/wiki/Toyo_Ito;DMG-A-01370;Q333585
https://nl.wikipedia.org/wiki/Dominique_Perrault;DMG-A-01371;Q504358
https://nl.wikipedia.org/wiki/Clement_Hiel;DMG-A-01387;Q28214446
https://nl.wikipedia.org/wiki/Technische_Universiteit_Delft;DMG-A-01416;Q752663
https://nl.wikipedia.org/wiki/Colnago;DMG-A-01427;Q652063
https://nl.wikipedia.org/wiki/Koninklijke_Philips;DMG-A-01440;Q170416
https://nl.wikipedia.org/wiki/Telefunken;DMG-A-01441;Q325635
https://nl.wikipedia.org/wiki/Ericsson;DMG-A-01442;Q52618
https://nl.wikipedia.org/wiki/Sinclair_Research;DMG-A-01443;Q4409
https://nl.wikipedia.org/wiki/Kinnarp;DMG-A-01444;Q1013594
https://nl.wikipedia.org/wiki/Wiel_Arets;DMG-A-01450;Q2145216
https://nl.wikipedia.org/wiki/Gustaaf_Vanaise;DMG-A-01464;Q3121341
https://nl.wikipedia.org/wiki/Alvar_Aalto;DMG-A-01465;Q82840
https://nl.wikipedia.org/wiki/Ferdinand_Barbedienne;DMG-A-01470;Q3068524
https://nl.wikipedia.org/wiki/Amphora;DMG-A-01476;Q2192180
https://nl.wikipedia.org/wiki/Joseph_Maria_Olbrich;DMG-A-01490;Q44911
https://nl.wikipedia.org/wiki/Braun_(concern);DMG-A-01504;Q631220
https://nl.wikipedia.org/wiki/Remington_Rand;DMG-A-01511;Q1372129
https://nl.wikipedia.org/wiki/Jozef_Cantr%C3%A9;DMG-A-01514;Q2271270
https://nl.wikipedia.org/wiki/Ingo_Maurer;DMG-A-01515;Q374391
https://nl.wikipedia.org/wiki/Antonio_Citterio;DMG-A-01524;Q601610
https://nl.wikipedia.org/wiki/Ruudt_Peters;DMG-A-01529;Q15638123
https://nl.wikipedia.org/wiki/Maarten_Van_Severen;DMG-A-01530;Q1409014
https://nl.wikipedia.org/wiki/Ray_Eames;DMG-A-01532;Q380404
https://nl.wikipedia.org/wiki/Richard_Hutten;DMG-A-01537;Q2263497
https://nl.wikipedia.org/wiki/Jos_de_Mey;DMG-A-01538;Q2039767
